"Var1","Freq"
"×",3.33358890848298e-06
"°",8.33397227120746e-06
"‘",5.00038336272448e-06
"’",8.33397227120746e-06
"“",9.00069005290406e-05
"“”",1.66679445424149e-06
"“″",1.66679445424149e-06
"”",6.16713948069352e-05
"«",1.66679445424149e-06
"»",3.33358890848298e-06
"§",3.33358890848298e-06
"¢",1.66679445424149e-06
"£",4.50034502645203e-05
"€",1.33343556339319e-05
"→",1.66679445424149e-06
"♪♫",1.66679445424149e-06
"∞",1.66679445424149e-06
"′",1.66679445424149e-06
"￼",1.66679445424149e-06
"″",1.16675611796904e-05
"♥",4.66702447187618e-05
"",1.66679445424149e-06
"★",1.66679445424149e-06
"❤",6.66717781696597e-06
"☺",1.66679445424149e-06
"—",0.00120342559596236
"…",8.66733116205576e-05
"☀",1.66679445424149e-06
"–",0.00111841907879604
"➜",1.66679445424149e-06
"…”",1.66679445424149e-06
"",1.66679445424149e-06
"♥♥♥♥♥",1.66679445424149e-06
"",1.83347389966564e-05
"",8.33397227120746e-06
"⁰",1.66679445424149e-06
"½",1.66679445424149e-05
"a",0.00882067625184597
"‘a",3.33358890848298e-06
"“a",2.16683279051394e-05
"a",1.66679445424149e-06
"aa",1.50011500881734e-05
"aaa",6.66717781696597e-06
"aahed",1.66679445424149e-06
"aahing",1.66679445424149e-06
"aam",5.00038336272448e-06
"aapl",1.66679445424149e-06
"aaron",3.00023001763469e-05
"aarp",3.33358890848298e-06
"aau",3.33358890848298e-06
"ab",1.16675611796904e-05
"aba",1.66679445424149e-06
"ababa",1.66679445424149e-06
"aback",1.66679445424149e-06
"abandon",1.50011500881734e-05
"abandoned",3.83362724475543e-05
"abandoning",6.66717781696597e-06
"abandonment",6.66717781696597e-06
"abatement",1.66679445424149e-06
"abattoir",1.66679445424149e-06
"abaya",1.66679445424149e-06
"abbas",3.33358890848298e-06
"abbasiyah",1.66679445424149e-06
"abbey",8.33397227120746e-06
"abbot",1.66679445424149e-06
"abbottabad",3.33358890848298e-06
"abbreviated",1.66679445424149e-06
"abbreviation",1.66679445424149e-06
"abby",6.66717781696597e-06
"abc",2.66687112678639e-05
"abcs",6.66717781696597e-06
"abdc",8.33397227120746e-06
"abdelkader",1.66679445424149e-06
"abdomen",8.33397227120746e-06
"abdominal",1.66679445424149e-06
"abducted",5.00038336272448e-06
"abduction",3.33358890848298e-06
"abdul",1.66679445424149e-06
"abduljabbar",1.66679445424149e-06
"abdullah",3.33358890848298e-06
"abe",3.33358890848298e-06
"abel",1.66679445424149e-06
"abercrombie",3.33358890848298e-06
"aberdeen",5.00038336272448e-06
"aberration",1.66679445424149e-06
"abetted",1.66679445424149e-06
"abetting",1.66679445424149e-06
"abhor",1.66679445424149e-06
"abide",6.66717781696597e-06
"abiding",3.33358890848298e-06
"abigail",3.33358890848298e-06
"abilities",2.50019168136224e-05
"ability",5.16706280814862e-05
"abingdon",1.66679445424149e-06
"abject",1.66679445424149e-06
"ablaze",1.66679445424149e-06
"able",8.16729282578331e-05
"ableton",1.66679445424149e-06
"ablin",1.66679445424149e-06
"abnormal",5.00038336272448e-06
"aboard",1.83347389966564e-05
"abode",1.66679445424149e-06
"abolish",3.33358890848298e-06
"abolished",3.33358890848298e-06
"abolition",1.66679445424149e-06
"abominable",1.66679445424149e-06
"abomination",3.33358890848298e-06
"aboriginal",1.66679445424149e-06
"abort",1.66679445424149e-06
"aborted",1.66679445424149e-06
"abortion",2.50019168136224e-05
"abortions",1.0000766725449e-05
"abound",5.00038336272448e-06
"about",0.00254852872053524
"about”",6.66717781696597e-06
"above",0.000218350073505635
"aboveground",1.66679445424149e-06
"abovementioned",1.66679445424149e-06
"abq",8.33397227120746e-06
"abqs",1.66679445424149e-06
"abraham",1.50011500881734e-05
"abramovich",1.66679445424149e-06
"abrams",3.33358890848298e-06
"abrasive",1.66679445424149e-06
"abreast",3.33358890848298e-06
"abreu",1.66679445424149e-06
"abridged",3.33358890848298e-06
"abroad",2.50019168136224e-05
"abrupt",3.33358890848298e-06
"abruptly",5.00038336272448e-06
"abs",8.33397227120746e-06
"absence",2.66687112678639e-05
"absent",1.83347389966564e-05
"absentee",3.33358890848298e-06
"absentia",1.66679445424149e-06
"absolute",2.33351223593809e-05
"absolutely",0.000118342406251146
"absolve",1.66679445424149e-06
"absorb",8.33397227120746e-06
"absorbed",1.33343556339319e-05
"absorbing",6.66717781696597e-06
"absorption",1.66679445424149e-06
"abstain",1.66679445424149e-06
"abstract",1.0000766725449e-05
"abstraction",1.66679445424149e-06
"absurd",2.16683279051394e-05
"absurdities",1.66679445424149e-06
"absurdity",1.66679445424149e-06
"absurdly",3.33358890848298e-06
"abt",3.00023001763469e-05
"abu",6.66717781696597e-06
"abundance",1.0000766725449e-05
"abundant",1.16675611796904e-05
"abundantly",3.33358890848298e-06
"abuse",5.16706280814862e-05
"abused",1.83347389966564e-05
"abuser",1.66679445424149e-06
"abusers",3.33358890848298e-06
"abuses",6.66717781696597e-06
"abusing",8.33397227120746e-06
"abusive",1.16675611796904e-05
"abv",1.33343556339319e-05
"abysmal",1.66679445424149e-06
"abyss",1.66679445424149e-06
"ac",1.50011500881734e-05
"aca",1.66679445424149e-06
"acacia",1.66679445424149e-06
"academia",5.00038336272448e-06
"academic",5.00038336272448e-05
